Actual,Predicted
167,157.5675
162,169.84583333333333
72,73.39916666666667
139,143.12083333333334
64,67.4875
154,145.26833333333335
46,46.850833333333334
434,391.80916666666667
58,64.60583333333334
278,269.86083333333335
161,152.65083333333334
150,148.10916666666665
100,105.74666666666667
45,45.66
194,191.9525
123,116.71083333333333
307,294.61583333333334
135,134.24583333333334
94,93.47166666666666
76,78.08916666666667
216,213.5125
212,207.3775
53,56.63
230,226.1175
22,40.155833333333334
43,46.538333333333334
71,80.99583333333334
105,105.0975
7,15.084166666666667
190,198.305
39,49.69
1,23.9975
127,127.65583333333333
265,261.7
122,116.785
133,130.32666666666665
37,39.615833333333335
84,80.95
383,351.6875
41,46.855
25,39.848333333333336
110,117.29083333333334
139,134.37333333333333
40,44.23083333333334
130,126.3075
55,72.3725
183,188.98333333333332
56,59.01
168,174.515
191,192.01416666666665
133,126.38833333333334
4,25.899166666666666
61,60.51416666666667
214,220.7375
150,144.50916666666666
142,136.66833333333332
285,276.36
109,102.91583333333334
208,203.33083333333335
238,237.5525
115,114.79333333333334
1,13.494166666666667
24,34.44166666666667
135,133.96166666666667
61,68.59
5,23.091666666666665
51,52.72416666666667
188,183.4925
48,55.63166666666667
198,204.63583333333332
79,76.86166666666666
75,73.20333333333333
391,361.78833333333336
107,104.53916666666667
17,24.016666666666666
39,45.565
155,148.05416666666667
76,79.70083333333334
28,35.3175
90,99.23416666666667
231,226.15916666666666
337,322.75666666666666
101,98.665
54,52.67916666666667
41,44.24166666666667
8,18.471666666666668
386,360.1958333333333
76,77.71
184,196.21583333333334
62,65.2475
100,108.5825
68,70.66416666666667
155,148.82166666666666
211,218.07916666666668
30,30.71
302,297.6666666666667
16,23.6225
67,65.80333333333333
54,57.81583333333333
153,149.20083333333332
69,75.99333333333334
225,218.75583333333333
20,24.308333333333334
86,80.805
54,54.33
297,281.9266666666667
34,35.01166666666666
112,109.65583333333333
113,113.35416666666667
127,125.33333333333333
146,139.92333333333335
30,42.72416666666667
95,94.07
96,91.65333333333334
61,64.7975
67,76.9425
172,174.7925
7,17.579166666666666
129,131.52833333333334
93,97.235
434,387.9825
261,258.41833333333335
43,46.14666666666667
105,108.14583333333333
53,63.43
13,21.055833333333332
172,168.84
84,83.53833333333333
187,181.28
395,370.94
43,53.16
18,37.8125
332,312.50083333333333
17,27.406666666666666
14,32.255
8,17.489166666666666
106,106.7375
203,207.42
103,103.645
281,274.06416666666667
243,239.18416666666667
46,44.848333333333336
201,201.43333333333334
206,211.70916666666668
72,76.72583333333333
46,55.08583333333333
108,103.45
275,271.8491666666667
31,37.906666666666666
280,277.82
292,287.095
60,62.94583333333333
48,53.5
79,77.405
98,105.55916666666667
281,272.4575
37,36.413333333333334
14,32.02583333333333
326,314.4658333333333
126,121.5175
19,26.446666666666665
50,50.87583333333333
142,138.60666666666665
22,26.370833333333334
89,91.45833333333333
8,16.0725
94,97.91583333333334
16,27.590833333333332
64,75.95833333333333
21,35.63916666666667
299,292.485
14,20.535833333333333
383,356.815
24,32.3775
95,93.71
35,36.8975
24,27.014166666666668
81,83.96
297,285.89666666666665
17,39.3725
133,130.21416666666667
337,321.44916666666666
378,354.7125
73,72.385
300,296.265
180,184.58
189,182.7425
97,94.62333333333333
6,14.714166666666667
192,186.26333333333332
18,28.4375
98,106.57666666666667
198,196.1975
101,101.86666666666666
103,102.4825
25,33.3675
58,55.27
93,87.98
162,156.255
70,69.14833333333333
37,46.83416666666667
250,250.03666666666666
92,86.79666666666667
