Actual,Predicted
63,69.215
7,19.52166666666667
126,124.56166666666667
20,36.005
162,152.97083333333333
124,127.29416666666667
86,81.9675
151,144.66166666666666
59,64.52833333333334
188,177.31666666666666
119,113.46583333333334
96,105.21916666666667
214,221.075
391,351.5825
55,68.94833333333334
245,232.20416666666668
225,229.66833333333332
192,192.05333333333334
176,172.23166666666665
215,215.11
221,218.9275
259,249.855
168,160.22166666666666
356,338.3666666666667
333,312.80333333333334
109,120.8025
155,152.39416666666668
219,222.32166666666666
153,148.13
151,143.84166666666667
60,69.47
205,200.22
21,33.88916666666667
251,243.75
6,35.185833333333335
152,142.19833333333332
17,33.259166666666665
40,45.026666666666664
188,188.82916666666668
208,213.9975
48,56.909166666666664
81,88.515
289,272.5075
317,304.8
86,83.68916666666667
116,118.85
98,95.90083333333334
84,77.15333333333334
267,250.93166666666667
223,223.70166666666665
265,263.1725
206,218.78583333333333
55,55.075833333333335
162,161.55333333333334
21,27.384166666666665
161,160.76333333333332
25,32.87416666666667
121,119.33583333333333
69,68.36833333333334
209,214.455
206,208.96083333333334
268,261.655
61,64.925
164,159.15083333333334
67,64.27833333333334
5,16.950833333333332
75,78.59583333333333
161,151.71583333333334
51,63.03
210,208.06
17,42.07083333333333
23,42.535833333333336
127,125.67
1,15.4475
144,138.63583333333332
10,21.716666666666665
229,221.715
215,211.88083333333333
77,80.14666666666666
29,32.92916666666667
119,115.14666666666666
42,54.28
66,67.07
236,234.54833333333335
6,16.7675
200,207.27583333333334
92,86.5925
6,15.785833333333333
66,66.84083333333334
190,201.14916666666667
29,35.380833333333335
4,19.610833333333332
22,30.549166666666668
346,326.9941666666667
22,36.9825
231,222.42083333333332
18,37.01416666666667
225,227.96083333333334
376,351.145
181,170.43583333333333
324,313.7216666666667
37,47.44416666666667
86,87.92833333333333
39,51.405833333333334
210,202.26166666666666
271,257.2216666666667
206,204.99416666666667
48,56.5625
12,18.7775
12,30.856666666666666
76,72.64666666666666
81,84.46083333333333
137,138.4625
62,58.58083333333333
141,139.67916666666667
303,293.0683333333333
69,69.805
252,246.9075
206,207.19833333333332
67,72.50416666666666
393,371.6375
37,51.193333333333335
101,106.30166666666666
16,28.246666666666666
113,116.13583333333334
10,21.965833333333332
48,56.5575
160,149.54916666666668
107,113.38916666666667
29,35.75083333333333
17,31.758333333333333
47,50.8825
120,124.955
70,64.30416666666666
365,349.9775
72,68.80083333333333
383,352.53
381,355.37166666666667
112,112.7525
70,72.26916666666666
60,65.5425
198,190.64
53,56.2825
196,192.865
121,120.17166666666667
21,39.6025
