Actual,Predicted
316,305.01666666666665
24,33.55916666666667
86,89.5825
139,142.345
111,108.2275
161,151.15083333333334
211,204.605
42,55.61666666666667
89,85.27333333333333
34,40.083333333333336
36,40.01166666666666
163,157.145
85,82.29916666666666
178,173.04333333333332
98,102.3875
222,220.385
55,61.17666666666667
87,88.62166666666667
201,200.00666666666666
103,108.15166666666667
80,86.1525
71,75.695
302,291.7058333333333
6,30.1175
58,67.74666666666667
22,31.473333333333333
186,177.53
14,22.953333333333333
31,41.1275
114,110.70583333333333
14,30.011666666666667
40,42.77583333333333
58,70.85333333333334
78,78.7675
85,87.24583333333334
19,28.839166666666667
79,77.55166666666666
348,323.45916666666665
210,209.78166666666667
23,33.22833333333333
94,100.20916666666666
58,62.655833333333334
79,77.95583333333333
262,255.095
207,218.79916666666668
46,60.083333333333336
303,287.7191666666667
64,65.89333333333333
284,278.1575
61,71.31916666666666
434,389.41583333333335
351,330.3125
233,227.08916666666667
147,140.2175
27,52.350833333333334
73,89.1475
122,116.4825
67,66.47666666666667
237,232.07333333333332
113,115.6425
48,57.780833333333334
72,70.495
1,14.805833333333334
115,115.335
64,62.3475
37,42.405
57,53.60166666666667
160,156.78666666666666
163,153.38333333333333
212,213.62333333333333
266,255.1875
8,16.154166666666665
70,69.99916666666667
71,67.88333333333334
237,237.10583333333332
168,157.385
53,64.22
43,52.666666666666664
234,220.18
284,276.2225
143,140.31166666666667
49,57.564166666666665
79,79.46583333333334
31,35.060833333333335
55,50.5375
72,72.805
56,57.2175
44,57.056666666666665
3,14.0225
26,30.185
7,28.5275
217,223.67666666666668
232,235.2175
278,266.205
141,133.52
94,91.8075
159,157.525
346,332.3066666666667
17,28.166666666666668
133,131.20416666666668
27,27.49
282,274.72333333333336
64,62.67666666666667
11,35.36416666666667
21,28.661666666666665
372,346.2991666666667
185,190.3475
43,46.0875
26,31.184166666666666
32,34.04416666666667
19,24.741666666666667
48,46.47833333333333
190,188.28916666666666
145,135.89833333333334
123,122.78666666666666
34,35.495
93,92.45416666666667
11,26.54
12,19.241666666666667
55,66.50166666666667
24,28.849166666666665
47,48.80583333333333
358,331.0708333333333
5,33.10333333333333
157,151.19416666666666
161,158.09166666666667
224,228.47333333333333
139,140.39333333333335
90,95.025
371,355.44916666666666
27,34.13333333333333
265,262.8
90,84.93166666666667
98,105.99
134,129.85916666666665
349,337.06916666666666
3,17.923333333333332
237,224.1525
172,171.46083333333334
39,51.848333333333336
123,123.24916666666667
49,48.05083333333334
19,22.859166666666667
33,34.71083333333333
47,46.86416666666667
24,25.644166666666667
13,19.891666666666666
162,153.9925
389,365.915
184,193.86416666666668
79,91.1075
67,73.5425
285,282.02916666666664
120,122.23333333333333
108,109.59333333333333
78,76.56
133,126.16666666666667
32,50.600833333333334
7,23.205833333333334
128,127.61416666666666
56,65.83833333333334
96,97.475
152,141.925
166,168.0125
22,27.04083333333333
236,236.785
136,137.0
224,219.76083333333332
33,32.909166666666664
256,254.515
34,35.30083333333334
56,59.57
9,25.999166666666667
19,37.553333333333335
220,218.08
1,13.096666666666666
119,121.33
49,48.97083333333333
340,328.98
226,226.40166666666667
35,39.3875
72,78.79583333333333
191,196.20666666666668
14,23.43166666666667
124,124.89333333333333
100,103.075
266,258.19416666666666
102,108.28
98,97.42416666666666
140,134.74333333333334
129,132.70833333333334
114,115.63583333333334
166,154.89916666666667
121,118.96333333333334
37,42.51583333333333
300,289.68
114,114.2625
114,116.0425
382,358.91083333333336
406,372.8566666666667
116,119.80333333333333
326,324.1766666666667
273,269.4075
7,28.488333333333333
187,193.55583333333334
361,343.4766666666667
323,312.785
241,235.30166666666668
71,72.56833333333333
12,34.045833333333334
86,91.18583333333333
160,153.29583333333332
5,19.335
180,175.885
102,108.79
336,317.2
298,285.33916666666664
72,76.725
68,69.04083333333334
37,37.96666666666667
48,46.975
24,26.481666666666666
117,120.9825
139,130.56916666666666
112,115.14333333333333
269,265.00333333333333
14,21.025833333333335
340,321.05916666666667
309,304.8575
8,31.4775
348,328.3275
77,75.58333333333333
103,106.20833333333333
41,48.93333333333333
277,268.3375
58,61.373333333333335
381,364.39666666666665
12,22.109166666666667
237,232.06
73,69.8825
158,150.94083333333333
99,108.75416666666666
67,74.30583333333334
159,153.76916666666668
157,149.89416666666668
15,29.493333333333332
275,276.66083333333336
19,29.281666666666666
67,63.715833333333336
64,72.29166666666667
72,75.7825
100,94.62666666666667
91,93.56416666666667
28,29.6975
26,39.57333333333333
146,140.095
219,222.71
63,71.09583333333333
335,324.605
49,45.77
96,95.395
176,175.98916666666668
293,281.2633333333333
167,163.15166666666667
86,86.64583333333333
129,129.375
95,101.81
272,271.50333333333333
64,65.97
41,45.74916666666667
92,87.2
75,71.58666666666667
207,211.47083333333333
20,32.049166666666665
24,32.6825
28,36.306666666666665
367,343.2291666666667
31,33.04
141,138.53833333333333
58,69.02416666666667
54,64.3275
196,190.1325
22,32.954166666666666
12,20.7975
20,23.080833333333334
232,235.14
406,369.7975
30,36.84916666666667
17,25.723333333333333
18,29.988333333333333
132,129.23666666666668
9,19.721666666666668
112,116.7525
434,392.32666666666665
139,127.1575
34,41.079166666666666
291,273.9
17,42.295
203,196.8025
130,127.755
125,130.04333333333332
43,42.82666666666667
42,43.49166666666667
192,192.51416666666665
139,135.85833333333332
217,220.345
285,270.0725
392,367.86583333333334
282,274.0158333333333
166,153.64416666666668
100,103.48416666666667
96,97.3875
44,54.72666666666667
407,375.80583333333334
185,183.4675
55,55.47
79,74.53916666666667
65,64.39916666666667
156,156.78416666666666
1,16.92
64,61.659166666666664
75,72.16083333333333
273,269.59166666666664
92,85.76583333333333
107,106.45166666666667
75,83.36833333333334
222,209.23916666666668
83,83.81333333333333
24,33.885
158,152.01583333333335
142,139.36333333333334
137,127.91
156,150.09166666666667
177,178.31666666666666
2,15.443333333333333
28,34.03666666666667
56,57.5325
37,52.25833333333333
